video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
SbOwzAl9ZfQ,17.14.11,Capítulo 12 | MasterChef 2017,MasterChef 2017,24,2017-11-13T06:06:22.000Z,"MasterChef Junior 2017|""TV Azteca""|""recetas""|""cocina""|""Anette Michel""|""Betty Vázquez""|""Benito Molina""|""Adrián Herrera""|""master chef mexico""|""masterchef""|""master chef""|""master chef mexico 2017""|""masterchef mexico jueces""|""la cocina más famosa de méxico""|""reality de cocina más famoso de méxico""|""capítulo 12""|""episodio 12""|""capitulo masterchef""|""capitulo masterchef mexico 2017""|""programa masterchef de hoy""",310130,4182,361,1836,https://i.ytimg.com/vi/SbOwzAl9ZfQ/default.jpg,FALSE,FALSE,FALSE,"Disfruta la presencia del Chef Torreblanca en MasterChef, el duelo de pasteles, las mesas regionales de los chefs Benito, Betty y Herrera, la preparación de un tamal  artesanal y la salida del Padre Beto.\n\nMasterChef 2017\nVisita nuestro sitio oficial:\nhttp://www.aztecatrece.com/masterchef\n\nMasterChef regresa este 2017 más exigente que nunca. Descubre quién será el mejor cocinero de México en la cocina más famosa del mundo. Tv Azteca"
klOV6Xh-DnI,17.14.11,ALEXA EX-INTEGRANTE DEL GRUPO TIMBIRICHE RENUNCIA A ¨La Voz Mexico 7¨TELEVISA 11/11/2017,Micky Contreras Martinez,22,2017-11-13T05:11:58.000Z,La Voz Mexico 7,104972,271,174,369,https://i.ytimg.com/vi/klOV6Xh-DnI/default.jpg,FALSE,FALSE,FALSE,ALEXA EX-INTEGRANTE DEL GRUPO TIMBIRICHE RENUNCIA A ¨La Voz Mexico 7¨TELEVISA 11/11/2017
6L2ZF7Qzsbk,17.14.11,LOUIS CKAGÓ - EL PULSO DE LA REPÚBLICA,El Pulso De La República,25,2017-11-13T17:00:02.000Z,"Chumel Torres|""El Pulso de la Republica""|""noticias""|""news""|""mexico""|""pri""|""pan""|""prd""|""morena""|""louis ck""|""carstens""|""acoso""|""qatar""|""chicharito""|""premio nacional del deporte""|""carlos slim""|""carlos vergara""|""chivas""|""angelica fuentes""",136064,10105,266,607,https://i.ytimg.com/vi/6L2ZF7Qzsbk/default.jpg,FALSE,FALSE,FALSE,"La canción del principio se llama “Este espíritu” de nuestros carnales de nuestros carnales de Corona en colaboración con La Banda Bastón y Sotomayor, escúchala completa aquí:\nhttps://youtu.be/pQI70NAgN-I\nO en Spotify \nhttps://open.spotify.com/track/1tg4Sm0RY0HMReaI0YmJuM\n\nEl Pulso de La República. El InIn (Informativo Informal) que sale todos los LUNES y JUEVES a las 11 A.M. está también disponible en todas las plataformas:\n\nPara la fresada: https://itunes.apple.com/mx/app/el-pulso/id916281976?mt=8\nPara la pelusa: https://play.google.com/store/apps/details?id=com.iktwo.elpulso&hl=es_419:\nPara tus tías: https://www.facebook.com/ElPulsoDeLaRepublica/\n\nLa Lista Oficial de toda la música no oficial de El Pulso:\nhttps://open.spotify.com/user/12161104895/playlist/3yI4U05btr0MmNIn2etRKH\n\nY también, si quieres tener un cachito de nosotros, está la tienda de productos oficiales:\n\nhttps://www.kichink.com/stores/maquina\n\nEl Pulso de la República somos:\n\nhttp://twitter.com/ChumelTorres\nhttp://twitter.com/Durden\nhttp://twitter.com/ZomVieck\nhttp://twitter.com/rikymoreno\nhttp://twitter.com/Kaizzer\nhttps://twitter.com/elgab\n\nNo olvides suscribirte al canal y darnos tus pulgares arriba. Somos El Pulso de La República y nos despedimos no sin antes decirles que… Los amamos, estupeds."
