video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
LgVi6y5QIjM,17.14.11,"Sing zu Ende! | Gesangseinlagen vom Feinsten | inscope21","inscope21",24,2017-11-13T17:08:49.000Z,"inscope21"|"sing zu ende"|"gesangseinlagen"|"gesang"|"gesungen"|"songs nachsingen"|"nachsingen"|"songs covern"|"carpool karaoke"|"witziger gesang"|"rap"|"rap cover"|"rap zu ende"|"raps nachstellen"|"nachrappen"|"nach rappen",252786,35885,230,1539,https://i.ytimg.com/vi/LgVi6y5QIjM/default.jpg,False,False,False,"Heute gibt es mal wieder ein neues Format... wenn euch das Ganze gefällt lasst 1,5 Daumen nach oben da, dann bringen wir es nie wieder. Es wird gerappt gesungen und nichts gewusst, optimales Setup also. Kommentiert welche Songs ihr nächstes Mal dabei haben wollt.\n\n►Merch!: https://www.inscope21.com/\n\nzu den Jungs: \n\nSascha: https://www.youtube.com/user/unsympathischtv\nShpendi: https://www.youtube.com/channel/UCm32Mjdv3OhNrDT-RXExViA\nPeter: https://www.youtube.com/channel/UCvZxLLwvrXrRf1mENhqJKkw\n\n( Die mit * gekennzeichneten Links sind Partner oder Sponsoren von mir - sprich über diese Links werden Einnahmen generiert)"
Bayt7uQith4,17.14.11,"Kinder ferngesteuert im Kiosk! Erwachsene abzocken - LUKE! Die Woche und ich | SAT.1","LUKE! Die Woche und ich",23,2017-11-12T22:30:01.000Z,"Kinder"|"ferngesteuert"|"Kinder ferngesteuert"|"luke mockridge kinder"|"luke die woche und ich kinder"|"Prank"|"verarschen"|"Kiosk"|"Funkgerät"|"Falschgeld"|"Verkäufer"|"Luke Mockridge"|"Luke Die Woche und ich"|"versteckte Kamera"|"Show"|"Sat.1"|"LDWUI"|"Comedy"|"Kioskverkäufer"|"kinder prank"|"luke robin"|"Erwachsene abzocken"|"kunden verarschen"|"kunden prank"|"kasse prank"|"versteckte Kamera luke"|"luke kinder",797196,53576,302,1278,https://i.ytimg.com/vi/Bayt7uQith4/default.jpg,False,False,False,"Kinder ferngesteuert! Kinder lassen sich sooo leicht beeinflussen. So wie Robin, der sich von Luke als Kioskverkäufer steuern lässt. Die Kundern sind leicht irritiert.  \n\n►Abonniert den Kanal und verpasst kein „LUKE – Die Woche und ich“-Video!\nhttps://www.youtube.com/channel/UCC2I-hHgLHQ4dTAaOhErRRQ?sub_confirmation=1\n\n► „LUKE – Die Woche und ich“ auf Facebook:\nhttps://www.facebook.com/lukeswoche/\n\n► Die „LUKE – Die Woche und ich“-Webseite\nhttps://www.sat1.de/tv/luke-die-woche-und-ich\n\nEr ist charmant, frech und vor allem eins: unglaublich witzig. Luke Mockridge mischt mit seiner eigenen Show „LUKE! Die Woche und ich“ die deutsche Comedy-Szene ordentlich auf.\n\nImpressum:\nhttp://www.myspass.de/impressum/"
1ZAPwfrtAFY,17.14.11,"The Trump Presidency: Last Week Tonight with John Oliver (HBO)","LastWeekTonight",24,2017-11-13T07:30:00.000Z,"last week tonight trump presidency"|"last week tonight donald trump"|"john oliver trump"|"donald trump",2418783,97190,6146,12703,https://i.ytimg.com/vi/1ZAPwfrtAFY/default.jpg,False,False,False,"One year after the presidential election, John Oliver discusses what we've learned so far and enlists our catheter cowboy to teach Donald Trump what he hasn't.\n\nConnect with Last Week Tonight online...\n\nSubscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight\n\nFind Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight\n\nFollow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight\n\nVisit our official site for all that other stuff at once: http://www.hbo.com/lastweektonight"
AHtypnRk7JE,17.14.11,"Das Fermi-Paradoxon","100SekundenPhysik",27,2017-11-12T15:00:01.000Z,"Physik"|"Wissenschaft"|"Technik"|"Science-Fiction"|"Außerirdische"|"Alien"|"Aliens"|"Fermi"|"Fermi-Paradoxon",380247,31821,458,1955,https://i.ytimg.com/vi/AHtypnRk7JE/default.jpg,False,False,False,"►Alle Videos: http://bit.ly/1fa7Tw3\n\n\n✚Snapchat: SekundenPhysik\n✚Facebook: http://on.fb.me/YJFlNt\n✚Twitter: http://bit.ly/Zqqnv4\n✚Abonnieren: http://bit.ly/10jgdi2\n\n100SekundenPhysik: das ist Wissenschaft in einfacher, knapper und unterhaltsamer Form."
